date,venue,race_no,race_name,detail,horse_no,horse_name,win_odds,implied_prob,fetched_at_jst
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,15,ストレートブラック,13.6,7.4,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,16,サラコスティ,3.1,32.3,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,17,ガンバルマン,5.8,17.2,2026-05-24 11:06:24+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,1,ミルフルール,85.8,1.2,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,2,マンダリンボレロ,56.0,1.8,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,3,クラッシファイド,10.9,9.2,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,4,ライフゲート,16.8,6.0,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,5,ディーズゴールド,9.9,10.1,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,6,バロンドール,17.9,5.6,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,7,サンコンクエスト,38.8,2.6,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,8,ニューファウンド,40.5,2.5,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,9,リザードアイランド,6.9,14.5,2026-05-24 11:06:26+09:00
2026-05-24,東京,8,三峰山特別,13:50発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,10,オーロラアーク,123.1,0.8,2026-05-24 11:06:26+09:00
